School,Current URN,School establishment number,Measure,Measurement date,Academic year,Year group,Value,Unit,Source URL
Archdeacon Cambridge's Church of England Primary School,102920,3183326,Pupils by curriculum year,2026-01,2025/26,Year 4,59,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Archdeacon Cambridge's Church of England Primary School,102920,3183326,Pupils by curriculum year,2026-01,2025/26,Year 5,60,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Archdeacon Cambridge's Church of England Primary School,102920,3183326,Pupils by curriculum year,2026-01,2025/26,Year 6,61,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Barnes Primary School,102902,3182028,Pupils excluding nursery,2022-05,2021/22,,414,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Barnes Primary School,102902,3182028,Reported capacity excluding nursery,2022-05,2021/22,,450,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Barnes Primary School,102902,3182028,Pupils excluding nursery,2023-05,2022/23,,419,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Barnes Primary School,102902,3182028,Reported capacity excluding nursery,2023-05,2022/23,,450,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Barnes Primary School,102902,3182028,Pupils excluding nursery,2024-05,2023/24,,409,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Barnes Primary School,102902,3182028,Reported capacity excluding nursery,2024-05,2023/24,,450,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Barnes Primary School,102902,3182028,Pupils excluding nursery,2025-05,2024/25,,410,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Barnes Primary School,102902,3182028,Reported capacity excluding nursery,2025-05,2024/25,,450,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Barnes Primary School,102902,3182028,Pupils by curriculum year,2026-01,2025/26,Reception,60,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
