School,Current URN,School establishment number,Measure,Measurement date,Academic year,Year group,Value,Unit,Source URL
Holy Trinity Church of England Primary School,102908,3183304,Pupils excluding nursery,2025-05,2024/25,,303,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Holy Trinity Church of England Primary School,102908,3183304,Reported capacity excluding nursery,2025-05,2024/25,,420,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Holy Trinity Church of England Primary School,102908,3183304,Pupils by curriculum year,2026-01,2025/26,Reception,41,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Holy Trinity Church of England Primary School,102908,3183304,Pupils by curriculum year,2026-01,2025/26,Year 1,26,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Holy Trinity Church of England Primary School,102908,3183304,Pupils by curriculum year,2026-01,2025/26,Year 2,31,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Holy Trinity Church of England Primary School,102908,3183304,Pupils by curriculum year,2026-01,2025/26,Year 3,45,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Holy Trinity Church of England Primary School,102908,3183304,Pupils by curriculum year,2026-01,2025/26,Year 4,46,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Holy Trinity Church of England Primary School,102908,3183304,Pupils by curriculum year,2026-01,2025/26,Year 5,39,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Holy Trinity Church of England Primary School,102908,3183304,Pupils by curriculum year,2026-01,2025/26,Year 6,55,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Lowther Primary School,102892,3182013,Pupils excluding nursery,2022-05,2021/22,,272,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Lowther Primary School,102892,3182013,Reported capacity excluding nursery,2022-05,2021/22,,420,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Lowther Primary School,102892,3182013,Pupils excluding nursery,2023-05,2022/23,,250,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Lowther Primary School,102892,3182013,Reported capacity excluding nursery,2023-05,2022/23,,420,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Lowther Primary School,102892,3182013,Pupils excluding nursery,2024-05,2023/24,,249,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Lowther Primary School,102892,3182013,Reported capacity excluding nursery,2024-05,2023/24,,420,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Lowther Primary School,102892,3182013,Pupils excluding nursery,2025-05,2024/25,,217,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Lowther Primary School,102892,3182013,Reported capacity excluding nursery,2025-05,2024/25,,420,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Lowther Primary School,102892,3182013,Pupils by curriculum year,2026-01,2025/26,Reception,30,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Lowther Primary School,102892,3182013,Pupils by curriculum year,2026-01,2025/26,Year 1,27,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Lowther Primary School,102892,3182013,Pupils by curriculum year,2026-01,2025/26,Year 2,29,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Lowther Primary School,102892,3182013,Pupils by curriculum year,2026-01,2025/26,Year 3,34,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Lowther Primary School,102892,3182013,Pupils by curriculum year,2026-01,2025/26,Year 4,37,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Lowther Primary School,102892,3182013,Pupils by curriculum year,2026-01,2025/26,Year 5,27,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Lowther Primary School,102892,3182013,Pupils by curriculum year,2026-01,2025/26,Year 6,39,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Marshgate Primary School,133728,3182040,Pupils excluding nursery,2022-05,2021/22,,416,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Marshgate Primary School,133728,3182040,Reported capacity excluding nursery,2022-05,2021/22,,420,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Marshgate Primary School,133728,3182040,Pupils excluding nursery,2023-05,2022/23,,414,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Marshgate Primary School,133728,3182040,Reported capacity excluding nursery,2023-05,2022/23,,420,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Marshgate Primary School,133728,3182040,Pupils excluding nursery,2024-05,2023/24,,411,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Marshgate Primary School,133728,3182040,Reported capacity excluding nursery,2024-05,2023/24,,420,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Marshgate Primary School,133728,3182040,Pupils excluding nursery,2025-05,2024/25,,413,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Marshgate Primary School,133728,3182040,Reported capacity excluding nursery,2025-05,2024/25,,420,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Marshgate Primary School,133728,3182040,Pupils by curriculum year,2026-01,2025/26,Reception,49,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Marshgate Primary School,133728,3182040,Pupils by curriculum year,2026-01,2025/26,Year 1,57,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Marshgate Primary School,133728,3182040,Pupils by curriculum year,2026-01,2025/26,Year 2,55,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Marshgate Primary School,133728,3182040,Pupils by curriculum year,2026-01,2025/26,Year 3,58,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Marshgate Primary School,133728,3182040,Pupils by curriculum year,2026-01,2025/26,Year 4,54,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Marshgate Primary School,133728,3182040,Pupils by curriculum year,2026-01,2025/26,Year 5,56,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Marshgate Primary School,133728,3182040,Pupils by curriculum year,2026-01,2025/26,Year 6,60,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Meadlands Primary School,102893,3182015,Pupils excluding nursery,2022-05,2021/22,,206,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Meadlands Primary School,102893,3182015,Reported capacity excluding nursery,2022-05,2021/22,,210,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Meadlands Primary School,102893,3182015,Pupils excluding nursery,2023-05,2022/23,,202,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Meadlands Primary School,102893,3182015,Reported capacity excluding nursery,2023-05,2022/23,,210,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Meadlands Primary School,102893,3182015,Pupils excluding nursery,2024-05,2023/24,,201,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Meadlands Primary School,102893,3182015,Reported capacity excluding nursery,2024-05,2023/24,,210,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Meadlands Primary School,102893,3182015,Pupils excluding nursery,2025-05,2024/25,,212,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Meadlands Primary School,102893,3182015,Reported capacity excluding nursery,2025-05,2024/25,,210,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Meadlands Primary School,102893,3182015,Pupils by curriculum year,2026-01,2025/26,Reception,19,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Meadlands Primary School,102893,3182015,Pupils by curriculum year,2026-01,2025/26,Year 1,30,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Meadlands Primary School,102893,3182015,Pupils by curriculum year,2026-01,2025/26,Year 2,30,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Meadlands Primary School,102893,3182015,Pupils by curriculum year,2026-01,2025/26,Year 3,31,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Meadlands Primary School,102893,3182015,Pupils by curriculum year,2026-01,2025/26,Year 4,30,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Meadlands Primary School,102893,3182015,Pupils by curriculum year,2026-01,2025/26,Year 5,32,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Meadlands Primary School,102893,3182015,Pupils by curriculum year,2026-01,2025/26,Year 6,31,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Nelson Primary School,145122,3182029,Pupils excluding nursery,2022-05,2021/22,,299,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Nelson Primary School,145122,3182029,Reported capacity excluding nursery,2022-05,2021/22,,630,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Nelson Primary School,145122,3182029,Pupils excluding nursery,2023-05,2022/23,,286,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Nelson Primary School,145122,3182029,Reported capacity excluding nursery,2023-05,2022/23,,630,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Nelson Primary School,145122,3182029,Pupils excluding nursery,2024-05,2023/24,,267,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Nelson Primary School,145122,3182029,Reported capacity excluding nursery,2024-05,2023/24,,630,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Nelson Primary School,145122,3182029,Pupils excluding nursery,2025-05,2024/25,,241,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Nelson Primary School,145122,3182029,Reported capacity excluding nursery,2025-05,2024/25,,630,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Nelson Primary School,145122,3182029,Pupils by curriculum year,2026-01,2025/26,Reception,27,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Nelson Primary School,145122,3182029,Pupils by curriculum year,2026-01,2025/26,Year 1,30,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Nelson Primary School,145122,3182029,Pupils by curriculum year,2026-01,2025/26,Year 2,25,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Nelson Primary School,145122,3182029,Pupils by curriculum year,2026-01,2025/26,Year 3,42,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Nelson Primary School,145122,3182029,Pupils by curriculum year,2026-01,2025/26,Year 4,29,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Nelson Primary School,145122,3182029,Pupils by curriculum year,2026-01,2025/26,Year 5,30,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Nelson Primary School,145122,3182029,Pupils by curriculum year,2026-01,2025/26,Year 6,44,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Orleans Primary School,102895,3182018,Pupils excluding nursery,2022-05,2021/22,,420,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Orleans Primary School,102895,3182018,Reported capacity excluding nursery,2022-05,2021/22,,420,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Orleans Primary School,102895,3182018,Pupils excluding nursery,2023-05,2022/23,,416,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Orleans Primary School,102895,3182018,Reported capacity excluding nursery,2023-05,2022/23,,420,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Orleans Primary School,102895,3182018,Pupils excluding nursery,2024-05,2023/24,,416,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Orleans Primary School,102895,3182018,Reported capacity excluding nursery,2024-05,2023/24,,420,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Orleans Primary School,102895,3182018,Pupils excluding nursery,2025-05,2024/25,,421,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Orleans Primary School,102895,3182018,Reported capacity excluding nursery,2025-05,2024/25,,420,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Orleans Primary School,102895,3182018,Pupils by curriculum year,2026-01,2025/26,Reception,45,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Orleans Primary School,102895,3182018,Pupils by curriculum year,2026-01,2025/26,Year 1,59,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Orleans Primary School,102895,3182018,Pupils by curriculum year,2026-01,2025/26,Year 2,60,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Orleans Primary School,102895,3182018,Pupils by curriculum year,2026-01,2025/26,Year 3,59,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Orleans Primary School,102895,3182018,Pupils by curriculum year,2026-01,2025/26,Year 4,59,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Orleans Primary School,102895,3182018,Pupils by curriculum year,2026-01,2025/26,Year 5,60,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Orleans Primary School,102895,3182018,Pupils by curriculum year,2026-01,2025/26,Year 6,61,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Sacred Heart Catholic Primary School,102916,3183320,Pupils excluding nursery,2022-05,2021/22,,172,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Sacred Heart Catholic Primary School,102916,3183320,Reported capacity excluding nursery,2022-05,2021/22,,240,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Sacred Heart Catholic Primary School,102916,3183320,Pupils excluding nursery,2023-05,2022/23,,173,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Sacred Heart Catholic Primary School,102916,3183320,Reported capacity excluding nursery,2023-05,2022/23,,240,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Sacred Heart Catholic Primary School,102916,3183320,Pupils excluding nursery,2024-05,2023/24,,163,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Sacred Heart Catholic Primary School,102916,3183320,Reported capacity excluding nursery,2024-05,2023/24,,240,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Sacred Heart Catholic Primary School,102916,3183320,Pupils excluding nursery,2025-05,2024/25,,149,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Sacred Heart Catholic Primary School,102916,3183320,Reported capacity excluding nursery,2025-05,2024/25,,240,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Sacred Heart Catholic Primary School,102916,3183320,Pupils by curriculum year,2026-01,2025/26,Reception,22,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Sacred Heart Catholic Primary School,102916,3183320,Pupils by curriculum year,2026-01,2025/26,Year 1,19,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Sacred Heart Catholic Primary School,102916,3183320,Pupils by curriculum year,2026-01,2025/26,Year 2,16,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Sacred Heart Catholic Primary School,102916,3183320,Pupils by curriculum year,2026-01,2025/26,Year 3,15,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Sacred Heart Catholic Primary School,102916,3183320,Pupils by curriculum year,2026-01,2025/26,Year 4,20,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Sacred Heart Catholic Primary School,102916,3183320,Pupils by curriculum year,2026-01,2025/26,Year 5,28,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Sacred Heart Catholic Primary School,102916,3183320,Pupils by curriculum year,2026-01,2025/26,Year 6,26,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Sheen Mount Primary School,102897,3182020,Pupils excluding nursery,2022-05,2021/22,,586,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Sheen Mount Primary School,102897,3182020,Reported capacity excluding nursery,2022-05,2021/22,,630,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Sheen Mount Primary School,102897,3182020,Pupils excluding nursery,2023-05,2022/23,,588,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Sheen Mount Primary School,102897,3182020,Reported capacity excluding nursery,2023-05,2022/23,,630,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Sheen Mount Primary School,102897,3182020,Pupils excluding nursery,2024-05,2023/24,,572,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Sheen Mount Primary School,102897,3182020,Reported capacity excluding nursery,2024-05,2023/24,,630,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Sheen Mount Primary School,102897,3182020,Pupils excluding nursery,2025-05,2024/25,,593,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Sheen Mount Primary School,102897,3182020,Reported capacity excluding nursery,2025-05,2024/25,,630,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
Sheen Mount Primary School,102897,3182020,Pupils by curriculum year,2026-01,2025/26,Reception,90,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Sheen Mount Primary School,102897,3182020,Pupils by curriculum year,2026-01,2025/26,Year 1,90,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Sheen Mount Primary School,102897,3182020,Pupils by curriculum year,2026-01,2025/26,Year 2,88,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Sheen Mount Primary School,102897,3182020,Pupils by curriculum year,2026-01,2025/26,Year 3,83,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Sheen Mount Primary School,102897,3182020,Pupils by curriculum year,2026-01,2025/26,Year 4,83,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Sheen Mount Primary School,102897,3182020,Pupils by curriculum year,2026-01,2025/26,Year 5,82,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
Sheen Mount Primary School,102897,3182020,Pupils by curriculum year,2026-01,2025/26,Year 6,82,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
St Edmund's Catholic Primary School,102912,3183315,Pupils excluding nursery,2022-05,2021/22,,416,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
St Edmund's Catholic Primary School,102912,3183315,Reported capacity excluding nursery,2022-05,2021/22,,420,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
St Edmund's Catholic Primary School,102912,3183315,Pupils excluding nursery,2023-05,2022/23,,414,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
St Edmund's Catholic Primary School,102912,3183315,Reported capacity excluding nursery,2023-05,2022/23,,420,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
St Edmund's Catholic Primary School,102912,3183315,Pupils excluding nursery,2024-05,2023/24,,412,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
St Edmund's Catholic Primary School,102912,3183315,Reported capacity excluding nursery,2024-05,2023/24,,420,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
St Edmund's Catholic Primary School,102912,3183315,Pupils excluding nursery,2025-05,2024/25,,415,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
St Edmund's Catholic Primary School,102912,3183315,Reported capacity excluding nursery,2025-05,2024/25,,420,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
St Edmund's Catholic Primary School,102912,3183315,Pupils by curriculum year,2026-01,2025/26,Reception,50,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
St Edmund's Catholic Primary School,102912,3183315,Pupils by curriculum year,2026-01,2025/26,Year 1,60,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
St Edmund's Catholic Primary School,102912,3183315,Pupils by curriculum year,2026-01,2025/26,Year 2,59,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
St Edmund's Catholic Primary School,102912,3183315,Pupils by curriculum year,2026-01,2025/26,Year 3,60,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
St Edmund's Catholic Primary School,102912,3183315,Pupils by curriculum year,2026-01,2025/26,Year 4,60,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
St Edmund's Catholic Primary School,102912,3183315,Pupils by curriculum year,2026-01,2025/26,Year 5,60,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
St Edmund's Catholic Primary School,102912,3183315,Pupils by curriculum year,2026-01,2025/26,Year 6,59,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
St Elizabeth's Catholic Primary School,149925,3183310,Pupils excluding nursery,2022-05,2021/22,,253,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
St Elizabeth's Catholic Primary School,149925,3183310,Reported capacity excluding nursery,2022-05,2021/22,,308,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
St Elizabeth's Catholic Primary School,149925,3183310,Pupils excluding nursery,2023-05,2022/23,,236,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
St Elizabeth's Catholic Primary School,149925,3183310,Reported capacity excluding nursery,2023-05,2022/23,,308,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
St Elizabeth's Catholic Primary School,149925,3183310,Pupils excluding nursery,2024-05,2023/24,,212,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
St Elizabeth's Catholic Primary School,149925,3183310,Reported capacity excluding nursery,2024-05,2023/24,,308,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
St Elizabeth's Catholic Primary School,149925,3183310,Pupils excluding nursery,2025-05,2024/25,,212,pupils,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
St Elizabeth's Catholic Primary School,149925,3183310,Reported capacity excluding nursery,2025-05,2024/25,,308,places,https://explore-education-statistics.service.gov.uk/data-catalogue/data-set/d99443e1-1258-4894-b705-5bfb51751a37
St Elizabeth's Catholic Primary School,149925,3183310,Pupils by curriculum year,2026-01,2025/26,Reception,31,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
St Elizabeth's Catholic Primary School,149925,3183310,Pupils by curriculum year,2026-01,2025/26,Year 1,30,pupils,https://explore-education-statistics.service.gov.uk/find-statistics/school-pupils-and-their-characteristics/2025-26/explore
